,date,day,call_volume,date_index,week_index
134,13-May-12,sunday,1250,134,20
135,14-May-12,monday,10387,135,20
136,15-May-12,tuesday,9260,136,20
137,16-May-12,wednesday,9007,137,20
138,17-May-12,thursday,8720,138,20
139,18-May-12,friday,8080,139,20
140,19-May-12,saturday,2352,140,20
141,20-May-12,sunday,1291,141,21
142,21-May-12,monday,9762,142,21
143,22-May-12,tuesday,9817,143,21
144,23-May-12,wednesday,8770,144,21
145,24-May-12,thursday,8808,145,21
146,25-May-12,friday,8416,146,21
147,26-May-12,saturday,2529,147,21
148,27-May-12,sunday,1074,148,22
149,28-May-12,monday,10521,149,22
150,29-May-12,tuesday,9781,150,22
151,30-May-12,wednesday,9116,151,22
152,31-May-12,thursday,8843,152,22
153,01-Jun-12,friday,8194,153,22
154,02-Jun-12,saturday,2068,154,22
155,03-Jun-12,sunday,1047,155,23
156,04-Jun-12,monday,8832,156,23
157,05-Jun-12,tuesday,7091,157,23
158,06-Jun-12,wednesday,9426,158,23
159,07-Jun-12,thursday,9208,159,23
160,08-Jun-12,friday,8848,160,23
161,09-Jun-12,saturday,2554,161,23
162,10-Jun-12,sunday,1163,162,24
163,11-Jun-12,monday,10534,163,24
164,12-Jun-12,tuesday,9766,164,24
165,13-Jun-12,wednesday,8705,165,24
166,14-Jun-12,thursday,8516,166,24
167,15-Jun-12,friday,8266,167,24
168,16-Jun-12,saturday,2377,168,24
169,17-Jun-12,sunday,1034,169,25
170,18-Jun-12,monday,9783,170,25
171,19-Jun-12,tuesday,9829,171,25
172,20-Jun-12,wednesday,9079,172,25
173,21-Jun-12,thursday,10752,173,25
174,22-Jun-12,friday,8959,174,25
175,23-Jun-12,saturday,2571,175,25
176,24-Jun-12,sunday,1293,176,26
177,25-Jun-12,monday,10089,177,26
178,26-Jun-12,tuesday,9554,178,26
179,27-Jun-12,wednesday,9029,179,26
180,28-Jun-12,thursday,9122,180,26
181,29-Jun-12,friday,8992,181,26
182,30-Jun-12,saturday,2520,182,26
183,01-Jul-12,sunday,1542,183,27
184,02-Jul-12,monday,9814,184,27
185,03-Jul-12,tuesday,10495,185,27
186,04-Jul-12,wednesday,9691,186,27
187,05-Jul-12,thursday,9493,187,27
188,06-Jul-12,friday,8165,188,27
189,07-Jul-12,saturday,2418,189,27
190,08-Jul-12,sunday,1250,190,28
191,09-Jul-12,monday,9565,191,28
192,10-Jul-12,tuesday,9375,192,28
193,11-Jul-12,wednesday,9061,193,28
194,12-Jul-12,thursday,8671,194,28
195,13-Jul-12,friday,8169,195,28
196,14-Jul-12,saturday,2074,196,28
197,15-Jul-12,sunday,987,197,29
198,16-Jul-12,monday,8780,198,29
199,17-Jul-12,tuesday,8249,199,29
200,18-Jul-12,wednesday,8414,200,29
201,19-Jul-12,thursday,7812,201,29
202,20-Jul-12,friday,7172,202,29
203,21-Jul-12,saturday,1985,203,29
204,22-Jul-12,sunday,1241,204,30
205,23-Jul-12,monday,8783,205,30
206,24-Jul-12,tuesday,8110,206,30
207,25-Jul-12,wednesday,7884,207,30
208,26-Jul-12,thursday,7421,208,30
209,27-Jul-12,friday,7244,209,30
210,28-Jul-12,saturday,2048,210,30
211,29-Jul-12,sunday,1028,211,31
212,30-Jul-12,monday,8886,212,31
213,31-Jul-12,tuesday,8128,213,31
214,01-Aug-12,wednesday,7368,214,31
215,02-Aug-12,thursday,7360,215,31
216,03-Aug-12,friday,6930,216,31
217,04-Aug-12,saturday,2062,217,31
218,05-Aug-12,sunday,1136,218,32
219,06-Aug-12,monday,9025,219,32
220,07-Aug-12,tuesday,8616,220,32
221,08-Aug-12,wednesday,7534,221,32
222,09-Aug-12,thursday,7466,222,32
223,10-Aug-12,friday,7097,223,32
224,11-Aug-12,saturday,2024,224,32
225,12-Aug-12,sunday,994,225,33
226,13-Aug-12,monday,8661,226,33
227,14-Aug-12,tuesday,8221,227,33
228,15-Aug-12,wednesday,7649,228,33
229,16-Aug-12,thursday,7711,229,33
230,17-Aug-12,friday,6916,230,33
231,18-Aug-12,saturday,2011,231,33
232,19-Aug-12,sunday,1020,232,34
233,20-Aug-12,monday,8956,233,34
234,21-Aug-12,tuesday,8295,234,34
235,22-Aug-12,wednesday,7507,235,34
236,23-Aug-12,thursday,6999,236,34
237,24-Aug-12,friday,6767,237,34
238,25-Aug-12,saturday,2243,238,34
239,26-Aug-12,sunday,1040,239,35
240,27-Aug-12,monday,2168,240,35
241,28-Aug-12,tuesday,9526,241,35
242,29-Aug-12,wednesday,8234,242,35
243,30-Aug-12,thursday,8446,243,35
244,31-Aug-12,friday,7597,244,35
